product_id,category,current_price,optimal_price,price_change,current_sales,predicted_sales,current_revenue,optimal_revenue,revenue_uplift,current_profit,optimal_profit,profit_uplift
PROD_0001,Electronics,679.56,999.999972123516,47.15403674782449,91.0,42.23910694870839,61784.61,42239.1057712306,-31.63490750976562,24713.84,16895.64230849224,-31.63489644469561
PROD_0001,Electronics,614.38,999.999972123516,62.76571049245029,81.0,42.23910694870839,49760.97,42239.1057712306,-15.115991968744583,19904.39,16895.64230849224,-15.116000497919105
PROD_0001,Electronics,736.07,999.999972123516,35.85664028197264,60.0,38.16337438854872,43936.98,38163.37332468802,-13.140654353831286,17574.79,15265.34932987521,-13.140644469292614
PROD_0001,Electronics,625.3,999.999972123516,59.92323238821623,99.0,42.23910694870839,61904.31,42239.1057712306,-31.767100269382535,24761.72,16895.64230849224,-31.767089247062653
PROD_0001,Electronics,606.73,999.999972123516,64.81795397022003,93.0,41.16475868760885,56431.96,41164.757540080114,-27.054177207241935,22572.79,16465.903016032047,-27.05419659673418
PROD_0001,Electronics,718.71,999.999972123516,39.13817424601243,86.0,42.032279668760715,62041.41,42032.278497048545,-32.25125203142781,24816.57,16812.91139881942,-32.25126841130979
PROD_0001,Electronics,691.28,999.999972123516,44.65917893234523,58.0,40.20681901467468,40308.78,40206.81789384993,-0.2529525977964743,16123.51,16082.727157539974,-0.25294022492637513
PROD_0001,Electronics,617.32,999.999972123516,61.99053523675177,64.0,42.649526807884534,39480.06,42649.52561896569,8.028016216200506,15792.02,17059.810247586276,8.028043578885258
PROD_0001,Electronics,619.57,999.999972123516,61.40225836039769,90.0,43.89892675597197,55818.59,43898.925532224246,-21.354291585967598,22327.44,17559.5702128897,-21.354305675484067
PROD_0001,Electronics,856.42,999.999972123516,16.76513534521801,80.0,45.73293565907052,68580.95,45732.93438419708,-33.31539679138729,27432.38,18293.17375367883,-33.31539679138729
